ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.50505,0.51546,0.5102,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.37255,0.40426,0.38776,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.41346,0.37719,0.3945,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.4,0.42308,0.41121,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.42718,0.45361,0.44,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.27184,0.25926,0.2654,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.4902,0.46296,0.47619,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.29167,0.33333,0.31111,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.27184,0.33735,0.30108,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.43564,0.41509,0.42512,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.24038,0.27473,0.25641,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.33333,0.39326,0.36082,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.44444,0.55914,0.49524,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.32632,0.31,0.31795,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.33962,0.34286,0.34123,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.26531,0.26263,0.26396,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.33621,0.41935,0.37321,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.35417,0.38636,0.36957,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.34579,0.43023,0.38342,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.32143,0.4186,0.36364,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.49057,0.54737,0.51741,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.46154,0.41379,0.43636,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.42308,0.51163,0.46316,1
