ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.36275,0.37,0.36634,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.48182,0.53535,0.50718,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.29245,0.30693,0.29952,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.33036,0.37,0.34906,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.44231,0.46,0.45098,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.03226,0.21429,0.05607,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.48039,0.49,0.48515,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.2766,0.26,0.26804,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.38679,0.41,0.39806,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.30189,0.32323,0.3122,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.48958,0.47475,0.48205,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.42574,0.42574,0.42574,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.35238,0.37,0.36098,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.44554,0.45,0.44776,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.36275,0.37374,0.36816,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.28,0.35,0.31111,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.41748,0.42157,0.41951,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.49558,0.56,0.52582,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.42574,0.42574,0.42574,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.39623,0.42424,0.40976,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.35,0.34314,0.34653,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.33333,0.33673,0.33503,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.5,0.51515,0.50746,1
ROUGE-1,AP881222-0119,SYSTEM.TXT,0.39796,0.38614,0.39196,1
ROUGE-1,AP880927-0117,SYSTEM.TXT,0.31915,0.29412,0.30612,1
ROUGE-1,AP880913-0204,SYSTEM.TXT,0.29126,0.29703,0.29412,1
ROUGE-1,AP890722-0081,SYSTEM.TXT,0.70968,0.66667,0.6875,1
ROUGE-1,AP890325-0029,SYSTEM.TXT,0.33333,0.36634,0.34906,1
ROUGE-1,AP880409-0015,SYSTEM.TXT,0.43269,0.45,0.44118,1
ROUGE-1,AP890404-0260,SYSTEM.TXT,0.46226,0.49,0.47573,1
ROUGE-1,AP880902-0062,SYSTEM.TXT,0.52577,0.48571,0.50495,1
ROUGE-1,AP890307-0150,SYSTEM.TXT,0.2549,0.25243,0.25366,1
ROUGE-1,AP890326-0081,SYSTEM.TXT,0.37963,0.41414,0.39614,1
ROUGE-1,AP890111-0227,SYSTEM.TXT,0.24752,0.25,0.24876,1
ROUGE-1,AP880801-0195,SYSTEM.TXT,0.39423,0.41414,0.40394,1
ROUGE-1,AP890907-0221,SYSTEM.TXT,0.34021,0.33,0.33503,1
ROUGE-1,AP880811-0299,SYSTEM.TXT,0.37607,0.44,0.40553,1
ROUGE-1,AP880928-0146,SYSTEM.TXT,0.3617,0.33663,0.34872,1
ROUGE-1,AP881227-0185,SYSTEM.TXT,0.24299,0.26263,0.25243,1
ROUGE-1,AP880913-0129,SYSTEM.TXT,0.36449,0.375,0.36967,1
ROUGE-1,AP890227-0016,SYSTEM.TXT,0.35849,0.38384,0.37073,1
ROUGE-1,AP881216-0017,SYSTEM.TXT,0.39216,0.4,0.39604,1
ROUGE-1,AP880903-0092,SYSTEM.TXT,0.42857,0.45,0.43902,1
ROUGE-1,AP880419-0131,SYSTEM.TXT,0.50495,0.51515,0.51,1
ROUGE-1,AP891006-0029,SYSTEM.TXT,0.5625,0.54,0.55102,1
ROUGE-1,AP890708-0135,SYSTEM.TXT,0.39252,0.41584,0.40385,1
ROUGE-1,AP890802-0064,SYSTEM.TXT,0.36792,0.39,0.37864,1
ROUGE-1,AP890403-0123,SYSTEM.TXT,0.57009,0.61,0.58937,1
ROUGE-1,AP881009-0072,SYSTEM.TXT,0.52632,0.5102,0.51813,1
