ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.58586,0.42029,0.48945,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.39216,0.42553,0.40816,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.50962,0.30114,0.37857,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.65455,0.62609,0.64,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.43689,0.43689,0.43689,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.40777,0.28,0.33202,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.5,0.26562,0.34694,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.41667,0.30769,0.35398,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.38835,0.33613,0.36036,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.36634,0.29839,0.32889,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.42308,0.38596,0.40367,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.25714,0.19424,0.22131,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.63248,0.54412,0.58498,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.38947,0.26812,0.3176,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.42453,0.36585,0.39301,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.39796,0.25828,0.31325,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.23276,0.27551,0.25234,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.35417,0.30909,0.3301,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.53271,0.29688,0.38127,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.30357,0.20732,0.24638,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.37736,0.41667,0.39604,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.48077,0.43478,0.45662,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.43269,0.33333,0.37657,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.38835,0.33058,0.35714,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.32258,0.22059,0.26201,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.39823,0.49451,0.44118,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.44118,0.31915,0.37037,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.42,0.38182,0.4,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.71845,0.45399,0.55639,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.45,0.29605,0.35714,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.35052,0.34,0.34518,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.28723,0.3913,0.33129,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.4902,0.3125,0.38168,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.32075,0.35789,0.33831,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.54808,0.475,0.50893,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.35577,0.34579,0.35071,1
