ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.44444,0.43564,0.44,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.39216,0.4,0.39604,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.36538,0.38,0.37255,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.62727,0.68317,0.65403,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.43689,0.45,0.44335,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.27184,0.28,0.27586,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.36275,0.37,0.36634,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.36458,0.35354,0.35897,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.35922,0.37,0.36453,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.32673,0.33333,0.33,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.39423,0.41837,0.40594,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.2,0.21,0.20488,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.42735,0.5,0.46083,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.32632,0.31,0.31795,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.37736,0.39216,0.38462,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.30612,0.3,0.30303,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.23276,0.27273,0.25116,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.32292,0.30693,0.31472,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.43925,0.46535,0.45192,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.23214,0.26531,0.24762,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.38679,0.41,0.39806,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.44231,0.45545,0.44878,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.36538,0.38776,0.37624,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.34951,0.36735,0.35821,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.29032,0.27,0.27979,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.41593,0.47,0.44131,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.26471,0.27,0.26733,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.38,0.38,0.38,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.5534,0.57576,0.56436,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.38,0.38,0.38,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.35052,0.34,0.34518,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.42553,0.39216,0.40816,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.35294,0.36,0.35644,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.33962,0.36364,0.35122,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.5,0.52525,0.51232,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.34615,0.35644,0.35122,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.23585,0.2451,0.24038,1
ROUGE-1,WSJ910702-0078,SYSTEM.TXT,0.25,0.25253,0.25126,1
ROUGE-1,WSJ871215-0109,SYSTEM.TXT,0.32673,0.33333,0.33,1
ROUGE-1,FT921-9310,SYSTEM.TXT,0.52885,0.55556,0.54187,1
ROUGE-1,WSJ910718-0143,SYSTEM.TXT,0.4466,0.46465,0.45545,1
ROUGE-1,FT934-5781,SYSTEM.TXT,0.30108,0.28,0.29016,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.29167,0.29474,0.29319,1
ROUGE-1,SJMN91-06105230,SYSTEM.TXT,0.25962,0.26733,0.26341,1
ROUGE-1,LA043089-0197,SYSTEM.TXT,0.6506,0.54545,0.59341,1
ROUGE-1,SJMN91-06184021,SYSTEM.TXT,0.25532,0.24,0.24742,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.37624,0.37624,0.37624,1
ROUGE-1,WSJ911106-0109,SYSTEM.TXT,0.29592,0.28713,0.29146,1
ROUGE-1,LA042490-0142,SYSTEM.TXT,0.35238,0.37,0.36098,1
ROUGE-1,SJMN91-06071022,SYSTEM.TXT,0.42718,0.44,0.4335,1
ROUGE-1,AP900322-0192,SYSTEM.TXT,0.2,0.21,0.20488,1
ROUGE-1,SJMN91-06212161,SYSTEM.TXT,0.31313,0.31313,0.31313,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.70476,0.74,0.72195,1
ROUGE-1,LA072089-0140,SYSTEM.TXT,0.41748,0.42157,0.41951,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.43564,0.44,0.43781,1
ROUGE-1,AP900428-0108,SYSTEM.TXT,0.28155,0.29,0.28571,1
ROUGE-1,FBIS4-56863,SYSTEM.TXT,0.31373,0.32,0.31683,1
ROUGE-1,SJMN91-06192123,SYSTEM.TXT,0.41176,0.42,0.41584,1
ROUGE-1,LA110589-0082,SYSTEM.TXT,0.44554,0.43689,0.44118,1
ROUGE-1,AP900428-0005,SYSTEM.TXT,0.43564,0.43564,0.43564,1
ROUGE-1,LA050889-0075,SYSTEM.TXT,0.52041,0.51515,0.51777,1
ROUGE-1,AP901203-0166,SYSTEM.TXT,0.39423,0.41,0.40196,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.41176,0.41176,0.41176,1
ROUGE-1,WSJ910326-0090,SYSTEM.TXT,0.296,0.36634,0.32743,1
ROUGE-1,SJMN91-06191174,SYSTEM.TXT,0.23853,0.25743,0.24762,1
ROUGE-1,FT921-305,SYSTEM.TXT,0.47619,0.49505,0.48544,1
ROUGE-1,LA080790-0111,SYSTEM.TXT,0.33962,0.36,0.34951,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.312,0.39,0.34667,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.56311,0.58,0.57143,1
ROUGE-1,WSJ900705-0145,SYSTEM.TXT,0.35922,0.36634,0.36275,1
ROUGE-1,LA102189-0151,SYSTEM.TXT,0.52941,0.53465,0.53202,1
ROUGE-1,LA110590-0038,SYSTEM.TXT,0.43396,0.45545,0.44444,1
ROUGE-1,AP900619-0006,SYSTEM.TXT,0.32039,0.33,0.32512,1
ROUGE-1,SJMN91-06143070,SYSTEM.TXT,0.375,0.39,0.38235,1
ROUGE-1,AP901012-0032,SYSTEM.TXT,0.47475,0.43519,0.45411,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.50442,0.57576,0.53774,1
ROUGE-1,LA091889-0088,SYSTEM.TXT,0.36735,0.36,0.36364,1
ROUGE-1,FBIS-41815,SYSTEM.TXT,0.51485,0.52525,0.52,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.39604,0.39216,0.39409,1
ROUGE-1,FT923-5859,SYSTEM.TXT,0.37736,0.39216,0.38462,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.37736,0.4,0.38835,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.48,0.46154,0.47059,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.24242,0.24,0.24121,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.5098,0.52,0.51485,1
ROUGE-1,FBIS3-41,SYSTEM.TXT,0.37755,0.37,0.37374,1
ROUGE-1,LA071590-0068,SYSTEM.TXT,0.33333,0.35,0.34146,1
ROUGE-1,AP900521-0063,SYSTEM.TXT,0.30928,0.29703,0.30303,1
ROUGE-1,FT923-5797,SYSTEM.TXT,0.43925,0.47,0.45411,1
ROUGE-1,SJMN91-06246065,SYSTEM.TXT,0.4466,0.46,0.4532,1
ROUGE-1,FT943-5628,SYSTEM.TXT,0.28302,0.29703,0.28986,1
ROUGE-1,WSJ870908-0047,SYSTEM.TXT,0.38182,0.41176,0.39623,1
ROUGE-1,AP900529-0005,SYSTEM.TXT,0.3271,0.35354,0.33981,1
ROUGE-1,AP900511-0159,SYSTEM.TXT,0.41346,0.43434,0.42365,1
ROUGE-1,AP900625-0160,SYSTEM.TXT,0.41748,0.43,0.42365,1
ROUGE-1,FBIS-45908,SYSTEM.TXT,0.22222,0.22222,0.22222,1
ROUGE-1,LA103089-0070,SYSTEM.TXT,0.56977,0.49,0.52688,1
ROUGE-1,FT922-6646,SYSTEM.TXT,0.31818,0.35354,0.33493,1
ROUGE-1,WSJ920211-0036,SYSTEM.TXT,0.29,0.29,0.29,1
ROUGE-1,AP881222-0119,SYSTEM.TXT,0.40816,0.39604,0.40201,1
ROUGE-1,AP880927-0117,SYSTEM.TXT,0.46809,0.44444,0.45596,1
ROUGE-1,AP900322-0200,SYSTEM.TXT,0.22581,0.07,0.10687,1
ROUGE-1,SJMN91-06187248,SYSTEM.TXT,0.26804,0.25743,0.26263,1
ROUGE-1,LA092790-0010,SYSTEM.TXT,0.39583,0.38,0.38776,1
ROUGE-1,FT934-13350,SYSTEM.TXT,0.46535,0.47,0.46766,1
ROUGE-1,AP891116-0115,SYSTEM.TXT,0.23301,0.23529,0.23415,1
ROUGE-1,AP901231-0012,SYSTEM.TXT,0.36538,0.37624,0.37073,1
ROUGE-1,FT941-575,SYSTEM.TXT,0.45545,0.46465,0.46,1
ROUGE-1,AP900217-0078,SYSTEM.TXT,0.37624,0.38384,0.38,1
ROUGE-1,SJMN91-06189077,SYSTEM.TXT,0.25,0.25743,0.25366,1
ROUGE-1,AP900424-0035,SYSTEM.TXT,0.46667,0.49495,0.48039,1
ROUGE-1,AP880913-0204,SYSTEM.TXT,0.29126,0.29703,0.29412,1
ROUGE-1,AP890722-0081,SYSTEM.TXT,0.68817,0.64,0.66321,1
ROUGE-1,FT934-8628,SYSTEM.TXT,0.28972,0.31313,0.30097,1
ROUGE-1,FT923-5089,SYSTEM.TXT,0.3301,0.33663,0.33333,1
ROUGE-1,AP900316-0028,SYSTEM.TXT,0.63889,0.6699,0.65403,1
ROUGE-1,AP900910-0020,SYSTEM.TXT,0.46067,0.40594,0.43158,1
ROUGE-1,LA070189-0080,SYSTEM.TXT,0.50459,0.53922,0.52133,1
ROUGE-1,WSJ910710-0123,SYSTEM.TXT,0.24528,0.26531,0.2549,1
ROUGE-1,FT911-2650,SYSTEM.TXT,0.30769,0.32,0.31373,1
ROUGE-1,AP900426-0054,SYSTEM.TXT,0.42857,0.42424,0.4264,1
ROUGE-1,AP890325-0029,SYSTEM.TXT,0.36937,0.40594,0.38679,1
ROUGE-1,WSJ880621-0079,SYSTEM.TXT,0.34343,0.34694,0.34518,1
ROUGE-1,FT923-7126,SYSTEM.TXT,0.30769,0.32,0.31373,1
ROUGE-1,AP880409-0015,SYSTEM.TXT,0.41346,0.42574,0.41951,1
ROUGE-1,LA030889-0163,SYSTEM.TXT,0.65957,0.62626,0.64249,1
ROUGE-1,AP890404-0260,SYSTEM.TXT,0.33019,0.35,0.33981,1
ROUGE-1,FT923-5267,SYSTEM.TXT,0.31776,0.33333,0.32536,1
ROUGE-1,FT931-341,SYSTEM.TXT,0.23585,0.2451,0.24038,1
ROUGE-1,AP901030-0216,SYSTEM.TXT,0.50485,0.52,0.51232,1
ROUGE-1,LA092189-0123,SYSTEM.TXT,0.35354,0.34653,0.35,1
ROUGE-1,LA030489-0068,SYSTEM.TXT,0.38614,0.39,0.38806,1
ROUGE-1,LA051190-0185,SYSTEM.TXT,0.82,0.82,0.82,1
ROUGE-1,FBIS3-30788,SYSTEM.TXT,0.2243,0.24,0.23188,1
ROUGE-1,FBIS3-22942,SYSTEM.TXT,0,0,0,1
ROUGE-1,AP880902-0062,SYSTEM.TXT,0.48454,0.45631,0.47,1
ROUGE-1,AP890307-0150,SYSTEM.TXT,0.5,0.51,0.50495,1
ROUGE-1,WSJ910405-0154,SYSTEM.TXT,0.38235,0.38614,0.38424,1
ROUGE-1,LA081890-0039,SYSTEM.TXT,0.35238,0.37374,0.36275,1
ROUGE-1,AP890326-0081,SYSTEM.TXT,0.40741,0.43137,0.41905,1
ROUGE-1,AP890111-0227,SYSTEM.TXT,0.47525,0.47525,0.47525,1
ROUGE-1,FT922-3171,SYSTEM.TXT,0.34286,0.36364,0.35294,1
ROUGE-1,AP880801-0195,SYSTEM.TXT,0.40385,0.42,0.41176,1
ROUGE-1,FT923-6455,SYSTEM.TXT,0.52941,0.53465,0.53202,1
ROUGE-1,LA042190-0060,SYSTEM.TXT,0.60577,0.62376,0.61463,1
ROUGE-1,LA081489-0025,SYSTEM.TXT,0.36792,0.38614,0.37681,1
ROUGE-1,AP890907-0221,SYSTEM.TXT,0.5567,0.54,0.54822,1
ROUGE-1,LA102190-0045,SYSTEM.TXT,0.25439,0.29897,0.27488,1
ROUGE-1,AP880811-0299,SYSTEM.TXT,0.35897,0.41176,0.38356,1
ROUGE-1,LA012090-0090,SYSTEM.TXT,0.32292,0.31633,0.31959,1
ROUGE-1,FT934-8748,SYSTEM.TXT,0.32692,0.34,0.33333,1
ROUGE-1,LA092490-0095,SYSTEM.TXT,0.29808,0.31,0.30392,1
ROUGE-1,FT923-6110,SYSTEM.TXT,0.27619,0.26606,0.27103,1
ROUGE-1,FT932-12322,SYSTEM.TXT,0.47115,0.49,0.48039,1
ROUGE-1,WSJ900720-0113,SYSTEM.TXT,0.21622,0.24,0.22749,1
ROUGE-1,WSJ910710-0148,SYSTEM.TXT,0.31731,0.32673,0.32195,1
ROUGE-1,WSJ911224-0085,SYSTEM.TXT,0.3301,0.33663,0.33333,1
ROUGE-1,AP880928-0146,SYSTEM.TXT,0.32979,0.31,0.31959,1
