ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.59596,0.52212,0.5566,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.44118,0.42056,0.43062,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.42308,0.39286,0.40741,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.56364,0.52542,0.54386,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.54369,0.51376,0.5283,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.4466,0.41818,0.43192,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.38235,0.29323,0.33191,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.38542,0.34259,0.36275,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.36893,0.3619,0.36538,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.33663,0.30909,0.32227,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.29808,0.31313,0.30542,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.44762,0.41964,0.43318,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.58974,0.5188,0.552,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.32632,0.28972,0.30693,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.42453,0.41667,0.42056,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.5,0.42241,0.45794,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.51724,0.59406,0.553,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.05208,0.14286,0.07634,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.50467,0.47368,0.48869,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.49107,0.42969,0.45833,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.42453,0.40541,0.41475,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.56731,0.4403,0.4958,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.45192,0.49474,0.47236,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.34951,0.4186,0.38095,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.10753,0.37037,0.16667,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.40708,0.4,0.40351,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.54902,0.46281,0.50224,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.5,0.4386,0.46729,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.43689,0.42857,0.43269,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.36,0.288,0.32,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.47423,0.42593,0.44878,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.44681,0.39252,0.41791,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.60784,0.48438,0.53913,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.41509,0.43137,0.42308,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.36538,0.34234,0.35349,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.39423,0.39806,0.39614,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.42453,0.34884,0.38298,1
ROUGE-1,WSJ910702-0078,SYSTEM.TXT,0.19,0.20879,0.19895,1
ROUGE-1,WSJ871215-0109,SYSTEM.TXT,0.52475,0.43443,0.47534,1
ROUGE-1,FT921-9310,SYSTEM.TXT,0.48077,0.47619,0.47847,1
ROUGE-1,WSJ910718-0143,SYSTEM.TXT,0.45631,0.43519,0.4455,1
ROUGE-1,FT934-5781,SYSTEM.TXT,0.43011,0.30534,0.35714,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.42708,0.45556,0.44086,1
ROUGE-1,SJMN91-06105230,SYSTEM.TXT,0.46154,0.3871,0.42105,1
ROUGE-1,LA043089-0197,SYSTEM.TXT,0.37349,0.2562,0.30392,1
ROUGE-1,SJMN91-06184021,SYSTEM.TXT,0.2234,0.21,0.21649,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.35644,0.4,0.37696,1
ROUGE-1,WSJ911106-0109,SYSTEM.TXT,0.37755,0.33636,0.35577,1
ROUGE-1,LA042490-0142,SYSTEM.TXT,0.69524,0.59836,0.64317,1
ROUGE-1,SJMN91-06071022,SYSTEM.TXT,0.56311,0.46032,0.50655,1
ROUGE-1,AP900322-0192,SYSTEM.TXT,0.32381,0.33663,0.3301,1
ROUGE-1,SJMN91-06212161,SYSTEM.TXT,0.45455,0.3913,0.42056,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.6381,0.54032,0.58515,1
ROUGE-1,LA072089-0140,SYSTEM.TXT,0.36893,0.36893,0.36893,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.17822,0.24324,0.20571,1
ROUGE-1,AP900428-0108,SYSTEM.TXT,0.3301,0.3301,0.3301,1
ROUGE-1,FBIS4-56863,SYSTEM.TXT,0.36275,0.28244,0.3176,1
ROUGE-1,SJMN91-06192123,SYSTEM.TXT,0.10784,0.31429,0.16058,1
ROUGE-1,LA110589-0082,SYSTEM.TXT,0.48515,0.39516,0.43556,1
ROUGE-1,AP900428-0005,SYSTEM.TXT,0.46535,0.42342,0.4434,1
ROUGE-1,LA050889-0075,SYSTEM.TXT,0.46939,0.44231,0.45545,1
ROUGE-1,AP901203-0166,SYSTEM.TXT,0.27885,0.25217,0.26484,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.47059,0.4486,0.45933,1
ROUGE-1,WSJ910326-0090,SYSTEM.TXT,0.4,0.46729,0.43103,1
ROUGE-1,SJMN91-06191174,SYSTEM.TXT,0.3945,0.33594,0.36287,1
ROUGE-1,FT921-305,SYSTEM.TXT,0.30476,0.29907,0.30189,1
ROUGE-1,LA080790-0111,SYSTEM.TXT,0.5566,0.45736,0.50213,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.488,0.47287,0.48031,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.52427,0.45763,0.48869,1
ROUGE-1,WSJ900705-0145,SYSTEM.TXT,0.31068,0.23704,0.26891,1
ROUGE-1,LA102189-0151,SYSTEM.TXT,0.57843,0.5619,0.57005,1
ROUGE-1,LA110590-0038,SYSTEM.TXT,0.5566,0.46825,0.50862,1
ROUGE-1,AP900619-0006,SYSTEM.TXT,0.51456,0.46491,0.48848,1
ROUGE-1,SJMN91-06143070,SYSTEM.TXT,0.375,0.37143,0.37321,1
ROUGE-1,AP901012-0032,SYSTEM.TXT,0.37374,0.35238,0.36275,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.48673,0.41353,0.44715,1
ROUGE-1,LA091889-0088,SYSTEM.TXT,0.5102,0.45045,0.47847,1
ROUGE-1,FBIS-41815,SYSTEM.TXT,0.65347,0.6055,0.62857,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.42574,0.36134,0.39091,1
ROUGE-1,FT923-5859,SYSTEM.TXT,0.40566,0.33594,0.36752,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.4717,0.40984,0.4386,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.47,0.47959,0.47475,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.24242,0.25806,0.25,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.43137,0.41121,0.42105,1
ROUGE-1,FBIS3-41,SYSTEM.TXT,0.41837,0.37963,0.39806,1
ROUGE-1,LA071590-0068,SYSTEM.TXT,0.48571,0.48113,0.48341,1
ROUGE-1,AP900521-0063,SYSTEM.TXT,0.43299,0.336,0.37838,1
ROUGE-1,FT923-5797,SYSTEM.TXT,0.57944,0.55357,0.56621,1
ROUGE-1,SJMN91-06246065,SYSTEM.TXT,0.41748,0.37719,0.39631,1
ROUGE-1,FT943-5628,SYSTEM.TXT,0.30189,0.29358,0.29767,1
ROUGE-1,WSJ870908-0047,SYSTEM.TXT,0.53636,0.52679,0.53153,1
ROUGE-1,AP900529-0005,SYSTEM.TXT,0.56075,0.48,0.51724,1
ROUGE-1,AP900511-0159,SYSTEM.TXT,0.46154,0.50526,0.48241,1
ROUGE-1,AP900625-0160,SYSTEM.TXT,0.36893,0.32759,0.34703,1
ROUGE-1,FBIS-45908,SYSTEM.TXT,0.42424,0.26752,0.32812,1
ROUGE-1,LA103089-0070,SYSTEM.TXT,0.46512,0.28986,0.35714,1
ROUGE-1,FT922-6646,SYSTEM.TXT,0.35455,0.37143,0.36279,1
ROUGE-1,WSJ920211-0036,SYSTEM.TXT,0.46,0.42991,0.44444,1
ROUGE-1,AP881222-0119,SYSTEM.TXT,0.43878,0.35833,0.3945,1
ROUGE-1,AP880927-0117,SYSTEM.TXT,0.53191,0.3876,0.44843,1
ROUGE-1,AP900322-0200,SYSTEM.TXT,0.29032,0.07759,0.12245,1
ROUGE-1,SJMN91-06187248,SYSTEM.TXT,0.27835,0.30337,0.29032,1
ROUGE-1,LA092790-0010,SYSTEM.TXT,0.28125,0.47368,0.35294,1
ROUGE-1,FT934-13350,SYSTEM.TXT,0.37624,0.31667,0.34389,1
ROUGE-1,AP891116-0115,SYSTEM.TXT,0.38835,0.36036,0.37383,1
ROUGE-1,AP901231-0012,SYSTEM.TXT,0.34615,0.4186,0.37895,1
ROUGE-1,FT941-575,SYSTEM.TXT,0.70297,0.53788,0.60944,1
ROUGE-1,AP900217-0078,SYSTEM.TXT,0.39604,0.35088,0.37209,1
ROUGE-1,SJMN91-06189077,SYSTEM.TXT,0.34615,0.26471,0.3,1
ROUGE-1,AP900424-0035,SYSTEM.TXT,0.59048,0.56881,0.57944,1
ROUGE-1,AP880913-0204,SYSTEM.TXT,0.38835,0.37736,0.38278,1
ROUGE-1,AP890722-0081,SYSTEM.TXT,0.55914,0.45217,0.5,1
ROUGE-1,FT934-8628,SYSTEM.TXT,0.28972,0.32979,0.30846,1
ROUGE-1,FT923-5089,SYSTEM.TXT,0.32039,0.30841,0.31429,1
ROUGE-1,AP900316-0028,SYSTEM.TXT,0.43519,0.41593,0.42534,1
ROUGE-1,AP900910-0020,SYSTEM.TXT,0.38202,0.30631,0.34,1
ROUGE-1,LA070189-0080,SYSTEM.TXT,0.46789,0.5,0.48341,1
ROUGE-1,WSJ910710-0123,SYSTEM.TXT,0.21698,0.21905,0.21801,1
ROUGE-1,FT911-2650,SYSTEM.TXT,0.48077,0.4065,0.44053,1
ROUGE-1,AP900426-0054,SYSTEM.TXT,0.81633,0.75472,0.78431,1
ROUGE-1,AP890325-0029,SYSTEM.TXT,0.43243,0.46154,0.44651,1
ROUGE-1,WSJ880621-0079,SYSTEM.TXT,0.41414,0.28276,0.33607,1
ROUGE-1,FT923-7126,SYSTEM.TXT,0.40385,0.32061,0.35745,1
ROUGE-1,AP880409-0015,SYSTEM.TXT,0.5,0.52525,0.51232,1
ROUGE-1,LA030889-0163,SYSTEM.TXT,0.61702,0.5,0.55238,1
ROUGE-1,AP890404-0260,SYSTEM.TXT,0.45283,0.39669,0.42291,1
ROUGE-1,FT923-5267,SYSTEM.TXT,0.50467,0.39416,0.44262,1
ROUGE-1,FT931-341,SYSTEM.TXT,0.22642,0.22222,0.2243,1
ROUGE-1,AP901030-0216,SYSTEM.TXT,0.37864,0.32773,0.35135,1
ROUGE-1,LA092189-0123,SYSTEM.TXT,0.41414,0.35345,0.3814,1
ROUGE-1,LA030489-0068,SYSTEM.TXT,0.41584,0.38532,0.4,1
ROUGE-1,LA051190-0185,SYSTEM.TXT,0.75,0.60484,0.66964,1
ROUGE-1,FBIS3-30788,SYSTEM.TXT,0.42056,0.35156,0.38298,1
ROUGE-1,FBIS3-22942,SYSTEM.TXT,0,0,0,1
ROUGE-1,AP880902-0062,SYSTEM.TXT,0.5567,0.54545,0.55102,1
ROUGE-1,AP890307-0150,SYSTEM.TXT,0.41176,0.34711,0.37668,1
ROUGE-1,WSJ910405-0154,SYSTEM.TXT,0.32353,0.33,0.32673,1
ROUGE-1,LA081890-0039,SYSTEM.TXT,0.51429,0.43902,0.47368,1
ROUGE-1,AP890326-0081,SYSTEM.TXT,0.35185,0.38,0.36538,1
ROUGE-1,AP890111-0227,SYSTEM.TXT,0.13861,0.35,0.19858,1
ROUGE-1,FT922-3171,SYSTEM.TXT,0.35238,0.34906,0.35071,1
ROUGE-1,AP880801-0195,SYSTEM.TXT,0.50962,0.45299,0.47964,1
ROUGE-1,FT923-6455,SYSTEM.TXT,0.56863,0.42029,0.48333,1
