ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.18182,0.25714,0.21302,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.41176,0.4,0.4058,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.16346,0.25373,0.19883,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.14545,0.34043,0.20382,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.14563,0.25424,0.18519,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.18447,0.26761,0.21839,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.17647,0.32727,0.2293,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.20833,0.37037,0.26667,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.36893,0.55882,0.44444,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.13861,0.21875,0.1697,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.25962,0.32143,0.28723,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.10476,0.22917,0.14379,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.02564,0.13043,0.04286,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.17895,0.26984,0.21519,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.21698,0.31081,0.25556,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.14286,0.2029,0.16766,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.39655,0.51111,0.4466,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.10417,0.2381,0.14493,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.1028,0.18033,0.13095,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.16964,0.28358,0.21229,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.19811,0.42,0.26923,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.34615,0.3871,0.36548,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.30769,0.74419,0.43537,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.17476,0.23377,0.2,1
