ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.46465,0.4466,0.45545,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.59804,0.49593,0.54222,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.41346,0.39815,0.40566,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.45455,0.41322,0.4329,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.50485,0.47273,0.48826,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.43689,0.44554,0.44118,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.32353,0.22148,0.26295,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.27083,0.20968,0.23636,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.36893,0.29688,0.329,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.36634,0.31092,0.33636,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.33654,0.33654,0.33654,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.32381,0.31776,0.32075,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.44444,0.48598,0.46429,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.44211,0.34711,0.38889,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.50943,0.47788,0.49315,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.5,0.29878,0.37405,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.37931,0.36364,0.37131,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.46875,0.1125,0.18145,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.51402,0.40741,0.45455,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.27679,0.2844,0.28054,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.30189,0.31683,0.30918,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.45192,0.40171,0.42534,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.50962,0.46087,0.48402,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.37864,0.33621,0.35616,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.36559,0.27419,0.31336,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.38053,0.37719,0.37885,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.43137,0.36066,0.39286,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.52,0.46018,0.48826,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.43689,0.40179,0.4186,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.24,0.22018,0.22967,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.49485,0.42857,0.45933,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.42553,0.38835,0.40609,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.4902,0.44248,0.46512,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.49057,0.39695,0.43882,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.42308,0.33333,0.37288,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.38462,0.34188,0.36199,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.33019,0.30435,0.31674,1
ROUGE-1,WSJ910702-0078,SYSTEM.TXT,0.26,0.18056,0.21311,1
ROUGE-1,WSJ871215-0109,SYSTEM.TXT,0.54455,0.41667,0.4721,1
ROUGE-1,FT921-9310,SYSTEM.TXT,0.53846,0.53333,0.53589,1
ROUGE-1,WSJ910718-0143,SYSTEM.TXT,0.41748,0.40952,0.41346,1
ROUGE-1,FT934-5781,SYSTEM.TXT,0.34409,0.30769,0.32487,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.4375,0.42424,0.43077,1
ROUGE-1,SJMN91-06105230,SYSTEM.TXT,0.44231,0.31507,0.368,1
ROUGE-1,LA043089-0197,SYSTEM.TXT,0.57831,0.31373,0.40678,1
ROUGE-1,SJMN91-06184021,SYSTEM.TXT,0.31915,0.29126,0.30457,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.41584,0.4,0.40777,1
ROUGE-1,WSJ911106-0109,SYSTEM.TXT,0.30612,0.23077,0.26316,1
ROUGE-1,LA042490-0142,SYSTEM.TXT,0.69524,0.59836,0.64317,1
ROUGE-1,SJMN91-06071022,SYSTEM.TXT,0.4466,0.38017,0.41071,1
ROUGE-1,AP900322-0192,SYSTEM.TXT,0.33333,0.29661,0.3139,1
ROUGE-1,SJMN91-06212161,SYSTEM.TXT,0.50505,0.47619,0.4902,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.40952,0.41748,0.41346,1
ROUGE-1,LA072089-0140,SYSTEM.TXT,0.43689,0.37815,0.40541,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.37624,0.3619,0.36893,1
ROUGE-1,AP900428-0108,SYSTEM.TXT,0.33981,0.31532,0.3271,1
ROUGE-1,FBIS4-56863,SYSTEM.TXT,0.38235,0.21667,0.2766,1
ROUGE-1,SJMN91-06192123,SYSTEM.TXT,0.44118,0.34091,0.38462,1
ROUGE-1,LA110589-0082,SYSTEM.TXT,0.50495,0.45133,0.47664,1
ROUGE-1,AP900428-0005,SYSTEM.TXT,0.66337,0.57265,0.61468,1
ROUGE-1,LA050889-0075,SYSTEM.TXT,0.57143,0.53333,0.55172,1
ROUGE-1,AP901203-0166,SYSTEM.TXT,0.25962,0.22881,0.24324,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.4902,0.42735,0.45662,1
ROUGE-1,WSJ910326-0090,SYSTEM.TXT,0.448,0.53846,0.48908,1
ROUGE-1,SJMN91-06191174,SYSTEM.TXT,0.26606,0.21324,0.23673,1
ROUGE-1,FT921-305,SYSTEM.TXT,0.44762,0.41228,0.42922,1
ROUGE-1,LA080790-0111,SYSTEM.TXT,0.4434,0.40517,0.42342,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.36,0.41667,0.38627,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.58252,0.51724,0.54795,1
ROUGE-1,WSJ900705-0145,SYSTEM.TXT,0.2233,0.19167,0.20628,1
ROUGE-1,LA102189-0151,SYSTEM.TXT,0.54902,0.49558,0.52093,1
ROUGE-1,LA110590-0038,SYSTEM.TXT,0.46226,0.392,0.42424,1
ROUGE-1,AP900619-0006,SYSTEM.TXT,0.43689,0.42453,0.43062,1
ROUGE-1,SJMN91-06143070,SYSTEM.TXT,0.27885,0.26364,0.27103,1
ROUGE-1,AP901012-0032,SYSTEM.TXT,0.48485,0.4,0.43836,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.44248,0.44248,0.44248,1
ROUGE-1,LA091889-0088,SYSTEM.TXT,0.57143,0.47863,0.52093,1
ROUGE-1,FBIS-41815,SYSTEM.TXT,0.73267,0.67273,0.70142,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.40594,0.37615,0.39048,1
ROUGE-1,FT923-5859,SYSTEM.TXT,0.40566,0.34677,0.37391,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.4717,0.4065,0.43668,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.51,0.40476,0.45133,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.24242,0.19835,0.21818,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.5,0.41803,0.45536,1
ROUGE-1,FBIS3-41,SYSTEM.TXT,0.47959,0.46535,0.47236,1
ROUGE-1,LA071590-0068,SYSTEM.TXT,0.47619,0.4902,0.48309,1
ROUGE-1,AP900521-0063,SYSTEM.TXT,0.4433,0.39091,0.41546,1
ROUGE-1,FT923-5797,SYSTEM.TXT,0.49533,0.43802,0.46491,1
ROUGE-1,SJMN91-06246065,SYSTEM.TXT,0.30097,0.28704,0.29384,1
ROUGE-1,FT943-5628,SYSTEM.TXT,0.33962,0.3,0.31858,1
ROUGE-1,WSJ870908-0047,SYSTEM.TXT,0.40909,0.39474,0.40179,1
ROUGE-1,AP900529-0005,SYSTEM.TXT,0.4486,0.42105,0.43439,1
ROUGE-1,AP900511-0159,SYSTEM.TXT,0.72115,0.71429,0.7177,1
ROUGE-1,AP900625-0160,SYSTEM.TXT,0.49515,0.45536,0.47442,1
ROUGE-1,FBIS-45908,SYSTEM.TXT,0.33333,0.31132,0.32195,1
ROUGE-1,LA103089-0070,SYSTEM.TXT,0.52326,0.38462,0.44335,1
ROUGE-1,FT922-6646,SYSTEM.TXT,0.3,0.32039,0.30986,1
