ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,LA061589-0143,SYSTEM.TXT,0.36735,0.17143,0.23377,1
ROUGE-2,AP880613-0161,SYSTEM.TXT,0.25743,0.15854,0.19623,1
ROUGE-2,SJMN91-06184003,SYSTEM.TXT,0.1165,0.0597,0.07895,1
ROUGE-2,AP880914-0027,SYSTEM.TXT,0.18349,0.11765,0.14337,1
ROUGE-2,LA060490-0083,SYSTEM.TXT,0.34314,0.175,0.23179,1
ROUGE-2,SJMN91-06283083,SYSTEM.TXT,0.06863,0.03286,0.04444,1
ROUGE-2,WSJ911212-0080,SYSTEM.TXT,0.15842,0.04624,0.07159,1
ROUGE-2,LA093089-0126,SYSTEM.TXT,0.08421,0.04278,0.05674,1
ROUGE-2,WSJ870123-0101,SYSTEM.TXT,0.16667,0.09714,0.12274,1
ROUGE-2,AP901031-0024,SYSTEM.TXT,0.26,0.16774,0.20392,1
ROUGE-2,SJMN91-06084228,SYSTEM.TXT,0.24272,0.09158,0.13298,1
ROUGE-2,WSJ870227-0149,SYSTEM.TXT,0.09615,0.05102,0.06667,1
ROUGE-2,WSJ890828-0011,SYSTEM.TXT,0.27586,0.18713,0.223,1
ROUGE-2,WSJ900918-0121,SYSTEM.TXT,0.04255,0.02247,0.02941,1
ROUGE-2,AP881210-0115,SYSTEM.TXT,0.09524,0.0641,0.07663,1
ROUGE-2,LA042290-0104,SYSTEM.TXT,0.06186,0.02985,0.04027,1
ROUGE-2,LA081589-0043,SYSTEM.TXT,0.23478,0.20769,0.22041,1
ROUGE-2,LA041889-0039,SYSTEM.TXT,0.08421,0.01966,0.03187,1
ROUGE-2,LA040689-0056,SYSTEM.TXT,0.32075,0.11765,0.17215,1
ROUGE-2,AP890325-0143,SYSTEM.TXT,0.05405,0.02643,0.0355,1
ROUGE-2,SJMN91-06193235,SYSTEM.TXT,0.26667,0.20741,0.23333,1
ROUGE-2,AP890316-0018,SYSTEM.TXT,0.19417,0.12658,0.15326,1
ROUGE-2,AP891028-0022,SYSTEM.TXT,0.16505,0.125,0.14226,1
ROUGE-2,WSJ910628-0109,SYSTEM.TXT,0.27451,0.15385,0.19718,1
ROUGE-2,AP880630-0295,SYSTEM.TXT,0.15217,0.08284,0.10728,1
ROUGE-2,AP901029-0035,SYSTEM.TXT,0.25,0.1958,0.21961,1
ROUGE-2,AP880601-0040,SYSTEM.TXT,0.38614,0.17411,0.24,1
ROUGE-2,LA021689-0227,SYSTEM.TXT,0.38384,0.19895,0.26207,1
ROUGE-2,FT942-11114,SYSTEM.TXT,0.30392,0.14286,0.19436,1
ROUGE-2,WSJ880617-0024,SYSTEM.TXT,0.18182,0.11392,0.14008,1
ROUGE-2,AP900306-0105,SYSTEM.TXT,0.28125,0.19149,0.22785,1
ROUGE-2,AP881206-0114,SYSTEM.TXT,0.04301,0.02685,0.03306,1
ROUGE-2,AP900703-0040,SYSTEM.TXT,0.29703,0.14925,0.19868,1
ROUGE-2,AP880520-0264,SYSTEM.TXT,0.24762,0.17687,0.20635,1
ROUGE-2,WSJ880923-0163,SYSTEM.TXT,0.14563,0.07177,0.09615,1
ROUGE-2,WSJ870306-0171,SYSTEM.TXT,0.13592,0.07107,0.09333,1
ROUGE-2,AP890529-0030,SYSTEM.TXT,0.10476,0.05946,0.07586,1
ROUGE-2,WSJ910702-0078,SYSTEM.TXT,0.08081,0.02985,0.0436,1
ROUGE-2,WSJ871215-0109,SYSTEM.TXT,0.28,0.1547,0.19929,1
ROUGE-2,FT921-9310,SYSTEM.TXT,0.32039,0.22759,0.26613,1
ROUGE-2,WSJ910718-0143,SYSTEM.TXT,0.18627,0.14961,0.16594,1
ROUGE-2,FT934-5781,SYSTEM.TXT,0.1413,0.04348,0.0665,1
ROUGE-2,AP880517-0226,SYSTEM.TXT,0.15789,0.14706,0.15228,1
ROUGE-2,SJMN91-06105230,SYSTEM.TXT,0.18447,0.06376,0.09476,1
ROUGE-2,LA043089-0197,SYSTEM.TXT,0.52439,0.18376,0.27215,1
ROUGE-2,SJMN91-06184021,SYSTEM.TXT,0.04301,0.03279,0.03721,1
ROUGE-2,AP890704-0043,SYSTEM.TXT,0.26,0.18705,0.21757,1
ROUGE-2,WSJ911106-0109,SYSTEM.TXT,0.1134,0.04977,0.06918,1
ROUGE-2,LA042490-0142,SYSTEM.TXT,0.25,0.15029,0.18773,1
ROUGE-2,SJMN91-06071022,SYSTEM.TXT,0.38235,0.15354,0.2191,1
ROUGE-2,AP900322-0192,SYSTEM.TXT,0.13462,0.06542,0.08805,1
ROUGE-2,SJMN91-06212161,SYSTEM.TXT,0.28571,0.14286,0.19048,1
ROUGE-2,AP881211-0027,SYSTEM.TXT,0.22115,0.14198,0.17293,1
ROUGE-2,LA072089-0140,SYSTEM.TXT,0.17647,0.06897,0.09917,1
ROUGE-2,AP890805-0126,SYSTEM.TXT,0.36,0.26277,0.3038,1
ROUGE-2,AP900428-0108,SYSTEM.TXT,0.2549,0.14444,0.1844,1
ROUGE-2,FBIS4-56863,SYSTEM.TXT,0.10891,0.0275,0.04391,1
ROUGE-2,SJMN91-06192123,SYSTEM.TXT,0.24752,0.125,0.16611,1
ROUGE-2,LA110589-0082,SYSTEM.TXT,0.17,0.11258,0.13546,1
ROUGE-2,AP900428-0005,SYSTEM.TXT,0.37,0.21264,0.27007,1
ROUGE-2,LA050889-0075,SYSTEM.TXT,0.29897,0.16292,0.21091,1
ROUGE-2,AP901203-0166,SYSTEM.TXT,0.24272,0.15432,0.18868,1
ROUGE-2,AP880714-0142,SYSTEM.TXT,0.21782,0.11828,0.15331,1
ROUGE-2,WSJ910326-0090,SYSTEM.TXT,0.14516,0.10286,0.1204,1
ROUGE-2,SJMN91-06191174,SYSTEM.TXT,0.0463,0.02049,0.02841,1
ROUGE-2,FT921-305,SYSTEM.TXT,0.40385,0.1875,0.2561,1
ROUGE-2,LA080790-0111,SYSTEM.TXT,0.38095,0.18692,0.25078,1
ROUGE-2,AP890313-0198,SYSTEM.TXT,0.16935,0.10938,0.13291,1
ROUGE-2,AP880510-0178,SYSTEM.TXT,0.39216,0.23121,0.29091,1
ROUGE-2,WSJ900705-0145,SYSTEM.TXT,0.57843,0.15946,0.25,1
ROUGE-2,LA102189-0151,SYSTEM.TXT,0.43564,0.24719,0.31541,1
ROUGE-2,LA110590-0038,SYSTEM.TXT,0.1619,0.10059,0.12409,1
ROUGE-2,AP900619-0006,SYSTEM.TXT,0.20588,0.11667,0.14894,1
ROUGE-2,SJMN91-06143070,SYSTEM.TXT,0.14563,0.05906,0.08403,1
ROUGE-2,AP901012-0032,SYSTEM.TXT,0.09184,0.05625,0.06977,1
ROUGE-2,AP881126-0007,SYSTEM.TXT,0.22321,0.14286,0.17422,1
ROUGE-2,LA091889-0088,SYSTEM.TXT,0.39175,0.17593,0.24281,1
ROUGE-2,FBIS-41815,SYSTEM.TXT,0.53,0.3046,0.38686,1
ROUGE-2,AP890111-0217,SYSTEM.TXT,0.19,0.08297,0.1155,1
ROUGE-2,FT923-5859,SYSTEM.TXT,0.29524,0.11524,0.16578,1
ROUGE-2,AP880623-0135,SYSTEM.TXT,0.1619,0.09551,0.12014,1
ROUGE-2,AP881222-0126,SYSTEM.TXT,0.07071,0.04487,0.0549,1
ROUGE-2,AP890117-0132,SYSTEM.TXT,0.05102,0.02732,0.03559,1
ROUGE-2,AP880217-0175,SYSTEM.TXT,0.37624,0.20652,0.26667,1
ROUGE-2,FBIS3-41,SYSTEM.TXT,0.24742,0.06332,0.10084,1
ROUGE-2,LA071590-0068,SYSTEM.TXT,0.125,0.06878,0.08874,1
ROUGE-2,AP900521-0063,SYSTEM.TXT,0.1875,0.08824,0.12,1
ROUGE-2,FT923-5797,SYSTEM.TXT,0.23585,0.13966,0.17544,1
ROUGE-2,SJMN91-06246065,SYSTEM.TXT,0.29412,0.11811,0.16854,1
ROUGE-2,FT943-5628,SYSTEM.TXT,0.22857,0.09449,0.1337,1
ROUGE-2,WSJ870908-0047,SYSTEM.TXT,0.19266,0.14685,0.16667,1
ROUGE-2,AP900529-0005,SYSTEM.TXT,0.13208,0.06699,0.08889,1
ROUGE-2,AP900511-0159,SYSTEM.TXT,0.24272,0.15723,0.19084,1
ROUGE-2,AP900625-0160,SYSTEM.TXT,0.33333,0.16038,0.21656,1
ROUGE-2,FBIS-45908,SYSTEM.TXT,0.05102,0.02008,0.02882,1
ROUGE-2,LA103089-0070,SYSTEM.TXT,0.25882,0.12644,0.16988,1
ROUGE-2,FT922-6646,SYSTEM.TXT,0.21101,0.11735,0.15082,1
ROUGE-2,WSJ920211-0036,SYSTEM.TXT,0.09091,0.0393,0.05488,1
ROUGE-2,AP881222-0119,SYSTEM.TXT,0.27835,0.108,0.15562,1
ROUGE-2,AP880927-0117,SYSTEM.TXT,0.17204,0.10191,0.128,1
ROUGE-2,AP900322-0200,SYSTEM1,0,0,0,1
ROUGE-2,AP900322-0200,SYSTEM.TXT,0.12621,0.06436,0.08525,1
ROUGE-2,AP900322-0200,SYSTEM,0,0,0,1
ROUGE-2,SJMN91-06187248,SYSTEM.TXT,0.10417,0.04202,0.05988,1
ROUGE-2,LA092790-0010,SYSTEM.TXT,0.16842,0.08377,0.11189,1
ROUGE-2,FT934-13350,SYSTEM.TXT,0.32,0.18824,0.23704,1
ROUGE-2,AP891116-0115,SYSTEM.TXT,0.04902,0.02732,0.03509,1
ROUGE-2,AP901231-0012,SYSTEM.TXT,0.19417,0.13245,0.15748,1
ROUGE-2,FT941-575,SYSTEM.TXT,0.58,0.23673,0.33623,1
ROUGE-2,AP900217-0078,SYSTEM.TXT,0.2,0.10526,0.13793,1
ROUGE-2,SJMN91-06189077,SYSTEM.TXT,0.05825,0.02727,0.03715,1
ROUGE-2,AP900424-0035,SYSTEM.TXT,0.13462,0.10938,0.12069,1
ROUGE-2,AP880913-0204,SYSTEM.TXT,0.07843,0.03704,0.05031,1
ROUGE-2,AP890722-0081,SYSTEM.TXT,0.29348,0.18121,0.22407,1
ROUGE-2,FT934-8628,SYSTEM.TXT,0.0566,0.03922,0.04633,1
ROUGE-2,FT923-5089,SYSTEM.TXT,0.18627,0.08597,0.11765,1
ROUGE-2,AP900316-0028,SYSTEM.TXT,0.2243,0.17266,0.19512,1
ROUGE-2,AP900910-0020,SYSTEM.TXT,0.13636,0.06218,0.08541,1
ROUGE-2,LA070189-0080,SYSTEM.TXT,0.37037,0.22472,0.27972,1
ROUGE-2,WSJ910710-0123,SYSTEM.TXT,0.05714,0.02667,0.03636,1
ROUGE-2,FT911-2650,SYSTEM.TXT,0.14563,0.04983,0.07426,1
ROUGE-2,AP900426-0054,SYSTEM.TXT,0.74227,0.37696,0.5,1
ROUGE-2,AP890325-0029,SYSTEM.TXT,0.14545,0.07619,0.1,1
ROUGE-2,WSJ880621-0079,SYSTEM.TXT,0.07143,0.03553,0.04746,1
ROUGE-2,FT923-7126,SYSTEM.TXT,0.03883,0.01646,0.02312,1
ROUGE-2,AP880409-0015,SYSTEM.TXT,0.49515,0.23944,0.32278,1
ROUGE-2,LA030889-0163,SYSTEM.TXT,0.54839,0.28814,0.37778,1
ROUGE-2,AP890404-0260,SYSTEM.TXT,0.12381,0.06806,0.08784,1
ROUGE-2,FT923-5267,SYSTEM.TXT,0.16038,0.10241,0.125,1
ROUGE-2,FT931-341,SYSTEM.TXT,0.02857,0.01215,0.01705,1
ROUGE-2,AP901030-0216,SYSTEM.TXT,0.23529,0.13873,0.17455,1
ROUGE-2,LA092189-0123,SYSTEM.TXT,0.15306,0.06329,0.08955,1
ROUGE-2,LA030489-0068,SYSTEM.TXT,0.13,0.04851,0.07065,1
ROUGE-2,LA051190-0185,SYSTEM.TXT,0.87879,0.58784,0.70445,1
ROUGE-2,FBIS3-30788,SYSTEM.TXT,0.20755,0.06875,0.10329,1
ROUGE-2,FBIS3-22942,SYSTEM.TXT,0,0,0,1
ROUGE-2,AP880902-0062,SYSTEM.TXT,0.30208,0.19595,0.2377,1
ROUGE-2,AP890307-0150,SYSTEM.TXT,0.23762,0.11823,0.15789,1
ROUGE-2,WSJ910405-0154,SYSTEM.TXT,0.27723,0.14973,0.19444,1
ROUGE-2,LA081890-0039,SYSTEM.TXT,0.32692,0.16585,0.22006,1
ROUGE-2,AP890326-0081,SYSTEM.TXT,0.14019,0.09202,0.11111,1
ROUGE-2,AP890111-0227,SYSTEM.TXT,0.13,0.06736,0.08874,1
ROUGE-2,FT922-3171,SYSTEM.TXT,0.19231,0.09901,0.13072,1
ROUGE-2,AP880801-0195,SYSTEM.TXT,0.04854,0.02959,0.03676,1
ROUGE-2,FT923-6455,SYSTEM.TXT,0.36634,0.18593,0.24667,1
ROUGE-2,LA042190-0060,SYSTEM.TXT,0.69903,0.54135,0.61017,1
ROUGE-2,LA081489-0025,SYSTEM.TXT,0.18095,0.08962,0.11987,1
ROUGE-2,AP890907-0221,SYSTEM.TXT,0.17708,0.0787,0.10897,1
ROUGE-2,LA102190-0045,SYSTEM.TXT,0.09735,0.04741,0.06377,1
ROUGE-2,AP880811-0299,SYSTEM.TXT,0.12931,0.07538,0.09524,1
ROUGE-2,LA012090-0090,SYSTEM.TXT,0.10526,0.05587,0.07299,1
ROUGE-2,FT934-8748,SYSTEM.TXT,0.26214,0.11297,0.15789,1
ROUGE-2,LA092490-0095,SYSTEM.TXT,0.17476,0.08257,0.11215,1
ROUGE-2,FT923-6110,SYSTEM.TXT,0.25962,0.13171,0.17476,1
ROUGE-2,FT932-12322,SYSTEM.TXT,0.26214,0.13846,0.18121,1
ROUGE-2,WSJ900720-0113,SYSTEM.TXT,0.06364,0.03111,0.04179,1
ROUGE-2,WSJ910710-0148,SYSTEM.TXT,0.15534,0.06751,0.09412,1
ROUGE-2,WSJ911224-0085,SYSTEM.TXT,0.04902,0.01852,0.02688,1
ROUGE-2,AP880928-0146,SYSTEM.TXT,0.21505,0.12987,0.16194,1
ROUGE-2,FT933-8272,SYSTEM.TXT,0.14563,0.04274,0.06608,1
ROUGE-2,WSJ910607-0063,SYSTEM.TXT,0.03191,0.01293,0.0184,1
ROUGE-2,AP900323-0036,SYSTEM.TXT,0.33333,0.15385,0.21053,1
ROUGE-2,AP881227-0185,SYSTEM.TXT,0.18868,0.09569,0.12698,1
ROUGE-2,FT922-8860,SYSTEM.TXT,0.19192,0.12025,0.14786,1
ROUGE-2,AP880913-0129,SYSTEM.TXT,0.19811,0.1117,0.14286,1
ROUGE-2,FT931-11394,SYSTEM.TXT,0.11881,0.0625,0.08191,1
ROUGE-2,LA121189-0017,SYSTEM.TXT,0.20721,0.09274,0.12813,1
ROUGE-2,FT941-1750,SYSTEM.TXT,0.28155,0.13364,0.18125,1
ROUGE-2,LA012590-0174,SYSTEM.TXT,0.42424,0.15613,0.22826,1
ROUGE-2,AP891017-0204,SYSTEM.TXT,0.27358,0.17365,0.21245,1
ROUGE-2,LA103089-0043,SYSTEM.TXT,0.03774,0.02424,0.02952,1
