ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.70707,0.39773,0.50909,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.4902,0.34722,0.4065,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.25962,0.17881,0.21176,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.48182,0.34416,0.40152,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.6699,0.37097,0.47751,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.38835,0.22472,0.2847,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.4902,0.15625,0.23697,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.38542,0.24183,0.29719,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.4466,0.33577,0.38333,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.53465,0.42188,0.47162,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.50962,0.20784,0.29526,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.42857,0.25568,0.32028,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.29915,0.28689,0.29289,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.38947,0.25517,0.30833,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.39623,0.2625,0.31579,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.42857,0.21875,0.28966,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.58621,0.48227,0.52918,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.41667,0.10178,0.1636,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.5514,0.2418,0.33618,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.4375,0.25,0.31818,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.5,0.41732,0.45494,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.49038,0.31098,0.3806,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.46154,0.33803,0.39024,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.46602,0.28235,0.35165,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.41935,0.25658,0.31837,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.60177,0.49635,0.544,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.69608,0.34634,0.46254,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.75,0.39474,0.51724,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.46602,0.32877,0.38554,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.43,0.27215,0.33333,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.65979,0.47059,0.54936,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.39362,0.2803,0.32743,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.53922,0.30387,0.38869,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.5283,0.38889,0.448,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.31731,0.1988,0.24444,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.42308,0.26347,0.32472,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.39623,0.25301,0.30882,1
ROUGE-1,WSJ910702-0078,SYSTEM.TXT,0.33,0.15493,0.21086,1
ROUGE-1,WSJ871215-0109,SYSTEM.TXT,0.32673,0.23077,0.27049,1
ROUGE-1,FT921-9310,SYSTEM.TXT,0.625,0.43046,0.5098,1
ROUGE-1,WSJ910718-0143,SYSTEM.TXT,0.58252,0.38462,0.46332,1
ROUGE-1,FT934-5781,SYSTEM.TXT,0.54839,0.19844,0.29143,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.45833,0.40367,0.42927,1
ROUGE-1,SJMN91-06105230,SYSTEM.TXT,0.49038,0.18613,0.26984,1
ROUGE-1,LA043089-0197,SYSTEM.TXT,0.77108,0.29767,0.42953,1
ROUGE-1,SJMN91-06184021,SYSTEM.TXT,0.2766,0.24299,0.25871,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.42574,0.38053,0.40187,1
ROUGE-1,WSJ911106-0109,SYSTEM.TXT,0.38776,0.19689,0.26117,1
ROUGE-1,LA042490-0142,SYSTEM.TXT,0.58095,0.39103,0.46743,1
ROUGE-1,SJMN91-06071022,SYSTEM.TXT,0.7767,0.35874,0.4908,1
ROUGE-1,AP900322-0192,SYSTEM.TXT,0.44762,0.25683,0.32639,1
ROUGE-1,SJMN91-06212161,SYSTEM.TXT,0.60606,0.32432,0.42254,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.49524,0.30952,0.38095,1
ROUGE-1,LA072089-0140,SYSTEM.TXT,0.5534,0.25333,0.34756,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.34653,0.28926,0.31532,1
ROUGE-1,AP900428-0108,SYSTEM.TXT,0.54369,0.35,0.42586,1
ROUGE-1,FBIS4-56863,SYSTEM.TXT,0.46078,0.14072,0.2156,1
ROUGE-1,SJMN91-06192123,SYSTEM.TXT,0.5,0.28492,0.36299,1
ROUGE-1,LA110589-0082,SYSTEM.TXT,0.39604,0.28986,0.33473,1
ROUGE-1,AP900428-0005,SYSTEM.TXT,0.47525,0.28916,0.35955,1
ROUGE-1,LA050889-0075,SYSTEM.TXT,0.73469,0.43636,0.54753,1
ROUGE-1,AP901203-0166,SYSTEM.TXT,0.49038,0.35915,0.41463,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.55882,0.32571,0.41155,1
ROUGE-1,WSJ910326-0090,SYSTEM.TXT,0.416,0.36879,0.39098,1
ROUGE-1,SJMN91-06191174,SYSTEM.TXT,0.37615,0.19431,0.25625,1
ROUGE-1,FT921-305,SYSTEM.TXT,0.6,0.30435,0.40385,1
ROUGE-1,LA080790-0111,SYSTEM.TXT,0.60377,0.36158,0.4523,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.496,0.32804,0.3949,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.61165,0.40127,0.48462,1
ROUGE-1,WSJ900705-0145,SYSTEM.TXT,0.52427,0.17881,0.26667,1
ROUGE-1,LA102189-0151,SYSTEM.TXT,0.67647,0.44516,0.53696,1
ROUGE-1,LA110590-0038,SYSTEM.TXT,0.66038,0.42683,0.51852,1
ROUGE-1,AP900619-0006,SYSTEM.TXT,0.56311,0.35583,0.43609,1
ROUGE-1,SJMN91-06143070,SYSTEM.TXT,0.36538,0.17117,0.23313,1
ROUGE-1,AP901012-0032,SYSTEM.TXT,0.45455,0.26627,0.33582,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.46903,0.31361,0.37589,1
ROUGE-1,LA091889-0088,SYSTEM.TXT,0.61224,0.33333,0.43165,1
ROUGE-1,FBIS-41815,SYSTEM.TXT,0.67327,0.44737,0.53755,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.48515,0.27072,0.34752,1
ROUGE-1,FT923-5859,SYSTEM.TXT,0.5566,0.25991,0.35435,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.49057,0.32704,0.39245,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.42,0.26415,0.32432,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.26263,0.15116,0.19188,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.67647,0.41071,0.51111,1
ROUGE-1,FBIS3-41,SYSTEM.TXT,0.64286,0.18314,0.28507,1
ROUGE-1,LA071590-0068,SYSTEM.TXT,0.29524,0.22963,0.25833,1
ROUGE-1,AP900521-0063,SYSTEM.TXT,0.5567,0.27979,0.37241,1
ROUGE-1,FT923-5797,SYSTEM.TXT,0.59813,0.35955,0.44912,1
ROUGE-1,SJMN91-06246065,SYSTEM.TXT,0.59223,0.25311,0.35465,1
ROUGE-1,FT943-5628,SYSTEM.TXT,0.61321,0.27897,0.38348,1
ROUGE-1,WSJ870908-0047,SYSTEM.TXT,0.51818,0.38255,0.44015,1
ROUGE-1,AP900529-0005,SYSTEM.TXT,0.31776,0.18085,0.23051,1
ROUGE-1,AP900511-0159,SYSTEM.TXT,0.54808,0.38514,0.45238,1
ROUGE-1,AP900625-0160,SYSTEM.TXT,0.68932,0.38798,0.4965,1
ROUGE-1,FBIS-45908,SYSTEM.TXT,0.47475,0.20614,0.28746,1
ROUGE-1,LA103089-0070,SYSTEM.TXT,0.53488,0.27879,0.36653,1
ROUGE-1,FT922-6646,SYSTEM.TXT,0.5,0.30556,0.37931,1
ROUGE-1,WSJ920211-0036,SYSTEM.TXT,0.41,0.18468,0.25466,1
ROUGE-1,AP881222-0119,SYSTEM.TXT,0.56122,0.24229,0.33846,1
ROUGE-1,AP880927-0117,SYSTEM.TXT,0.35106,0.23239,0.27966,1
ROUGE-1,AP900322-0200,SYSTEM1,0.00962,1,0.01905,1
ROUGE-1,AP900322-0200,SYSTEM.TXT,0.48077,0.25907,0.3367,1
ROUGE-1,AP900322-0200,SYSTEM,0.00962,1,0.01905,1
ROUGE-1,SJMN91-06187248,SYSTEM.TXT,0.45361,0.22798,0.30345,1
ROUGE-1,LA092790-0010,SYSTEM.TXT,0.41667,0.21858,0.28674,1
ROUGE-1,FT934-13350,SYSTEM.TXT,0.49505,0.31847,0.3876,1
ROUGE-1,AP891116-0115,SYSTEM.TXT,0.25243,0.18705,0.21488,1
ROUGE-1,AP901231-0012,SYSTEM.TXT,0.49038,0.35915,0.41463,1
ROUGE-1,FT941-575,SYSTEM.TXT,0.86139,0.36709,0.51479,1
ROUGE-1,AP900217-0078,SYSTEM.TXT,0.52475,0.28962,0.37324,1
ROUGE-1,SJMN91-06189077,SYSTEM.TXT,0.375,0.17257,0.23636,1
ROUGE-1,AP900424-0035,SYSTEM.TXT,0.30476,0.2735,0.28829,1
