ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.39394,0.3578,0.375,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.54902,0.7,0.61538,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.16346,0.15741,0.16038,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.30909,0.36559,0.33498,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.51456,0.55208,0.53266,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.37864,0.40625,0.39196,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.4902,0.47619,0.48309,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.11458,0.21154,0.14865,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.34951,0.62069,0.4472,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.27723,0.47458,0.35,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.13462,0.41176,0.2029,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.14286,0.33333,0.2,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0,0,0,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.10526,0.20408,0.13889,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.26415,0.57143,0.36129,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.28571,0.42424,0.34146,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.16379,0.52778,0.25,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.33333,0.5614,0.4183,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.07477,0.38095,0.125,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.3125,0.51471,0.38889,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.28302,0.51724,0.36585,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.29808,0.43662,0.35429,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.31731,0.45833,0.375,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.09709,0.20408,0.13158,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.10753,0.35714,0.16529,1
ROUGE-1,AP901029-0035,SYSTEM.TXT,0.18584,0.65625,0.28966,1
ROUGE-1,AP880601-0040,SYSTEM.TXT,0.54902,0.38621,0.45344,1
ROUGE-1,LA021689-0227,SYSTEM.TXT,0.46,0.49462,0.47668,1
ROUGE-1,FT942-11114,SYSTEM.TXT,0.32039,0.32673,0.32353,1
ROUGE-1,WSJ880617-0024,SYSTEM.TXT,0.09,0.17308,0.11842,1
ROUGE-1,AP900306-0105,SYSTEM.TXT,0.1134,0.25,0.15603,1
ROUGE-1,AP881206-0114,SYSTEM.TXT,0.1383,0.27083,0.1831,1
ROUGE-1,AP900703-0040,SYSTEM.TXT,0.43137,0.352,0.38767,1
ROUGE-1,AP880520-0264,SYSTEM.TXT,0.45283,0.5,0.47525,1
ROUGE-1,WSJ880923-0163,SYSTEM.TXT,0.04808,0.22727,0.07937,1
ROUGE-1,WSJ870306-0171,SYSTEM.TXT,0.125,0.30952,0.17808,1
ROUGE-1,AP890529-0030,SYSTEM.TXT,0.16981,0.33962,0.22642,1
ROUGE-1,WSJ910702-0078,SYSTEM.TXT,0.09,0.16071,0.11538,1
ROUGE-1,WSJ871215-0109,SYSTEM.TXT,0.0495,0.2,0.07937,1
ROUGE-1,FT921-9310,SYSTEM.TXT,0.57692,0.53571,0.55556,1
ROUGE-1,WSJ910718-0143,SYSTEM.TXT,0.17476,0.62069,0.27273,1
ROUGE-1,FT934-5781,SYSTEM.TXT,0.34409,0.31068,0.32653,1
ROUGE-1,AP880517-0226,SYSTEM.TXT,0.16667,0.39024,0.23358,1
ROUGE-1,SJMN91-06105230,SYSTEM.TXT,0.30769,0.30769,0.30769,1
ROUGE-1,LA043089-0197,SYSTEM.TXT,0.72289,0.6,0.65574,1
ROUGE-1,SJMN91-06184021,SYSTEM.TXT,0.1383,0.18056,0.15663,1
ROUGE-1,AP890704-0043,SYSTEM.TXT,0.18812,0.59375,0.28571,1
ROUGE-1,WSJ911106-0109,SYSTEM.TXT,0.08163,0.15094,0.10596,1
ROUGE-1,LA042490-0142,SYSTEM.TXT,0.30476,0.34783,0.32487,1
ROUGE-1,SJMN91-06071022,SYSTEM.TXT,0.20388,0.21875,0.21106,1
ROUGE-1,AP900322-0192,SYSTEM.TXT,0.37143,0.45882,0.41053,1
ROUGE-1,SJMN91-06212161,SYSTEM.TXT,0.44444,0.75862,0.56051,1
ROUGE-1,AP881211-0027,SYSTEM.TXT,0.35238,0.78723,0.48684,1
ROUGE-1,LA072089-0140,SYSTEM.TXT,0.08738,0.33333,0.13846,1
ROUGE-1,AP890805-0126,SYSTEM.TXT,0.18812,0.26027,0.21839,1
ROUGE-1,AP900428-0108,SYSTEM.TXT,0.27184,0.28571,0.27861,1
ROUGE-1,FBIS4-56863,SYSTEM.TXT,0.28431,0.26606,0.27488,1
ROUGE-1,SJMN91-06192123,SYSTEM.TXT,0.11765,0.34286,0.17518,1
ROUGE-1,LA110589-0082,SYSTEM.TXT,0.46535,0.47475,0.47,1
ROUGE-1,AP900428-0005,SYSTEM.TXT,0.22772,0.26136,0.24339,1
ROUGE-1,LA050889-0075,SYSTEM.TXT,0.21429,0.39623,0.27815,1
ROUGE-1,AP901203-0166,SYSTEM.TXT,0.18269,0.29231,0.22485,1
ROUGE-1,AP880714-0142,SYSTEM.TXT,0.22549,0.39655,0.2875,1
ROUGE-1,WSJ910326-0090,SYSTEM.TXT,0.256,0.65306,0.36782,1
ROUGE-1,SJMN91-06191174,SYSTEM.TXT,0.30275,0.31132,0.30698,1
ROUGE-1,FT921-305,SYSTEM.TXT,0.18095,0.35185,0.23899,1
ROUGE-1,LA080790-0111,SYSTEM.TXT,0.30189,0.69565,0.42105,1
ROUGE-1,AP890313-0198,SYSTEM.TXT,0.312,0.39,0.34667,1
ROUGE-1,AP880510-0178,SYSTEM.TXT,0.43689,0.50562,0.46875,1
ROUGE-1,WSJ900705-0145,SYSTEM.TXT,0.4466,0.24468,0.31615,1
ROUGE-1,LA102189-0151,SYSTEM.TXT,0.34314,0.67308,0.45455,1
ROUGE-1,LA110590-0038,SYSTEM.TXT,0.39623,0.65625,0.49412,1
ROUGE-1,AP900619-0006,SYSTEM.TXT,0.27184,0.34568,0.30435,1
ROUGE-1,SJMN91-06143070,SYSTEM.TXT,0.11538,0.19048,0.14371,1
ROUGE-1,AP901012-0032,SYSTEM.TXT,0.24242,0.52174,0.33103,1
ROUGE-1,AP881126-0007,SYSTEM.TXT,0.53982,0.63542,0.58373,1
ROUGE-1,LA091889-0088,SYSTEM.TXT,0.58163,0.54286,0.56158,1
ROUGE-1,FBIS-41815,SYSTEM.TXT,0.59406,0.68182,0.63492,1
ROUGE-1,AP890111-0217,SYSTEM.TXT,0.25743,0.25,0.25366,1
ROUGE-1,FT923-5859,SYSTEM.TXT,0.5,0.68831,0.57923,1
ROUGE-1,AP880623-0135,SYSTEM.TXT,0.01887,0.11765,0.03252,1
ROUGE-1,AP881222-0126,SYSTEM.TXT,0.32,0.55172,0.40506,1
ROUGE-1,AP890117-0132,SYSTEM.TXT,0.25253,0.5102,0.33784,1
ROUGE-1,AP880217-0175,SYSTEM.TXT,0.2451,0.59524,0.34722,1
ROUGE-1,FBIS3-41,SYSTEM.TXT,0.60204,0.24082,0.34402,1
ROUGE-1,LA071590-0068,SYSTEM.TXT,0.15238,0.41026,0.22222,1
ROUGE-1,AP900521-0063,SYSTEM.TXT,0.31959,0.29524,0.30693,1
ROUGE-1,FT923-5797,SYSTEM.TXT,0.35514,0.46341,0.40212,1
ROUGE-1,SJMN91-06246065,SYSTEM.TXT,0.28155,0.27358,0.27751,1
ROUGE-1,FT943-5628,SYSTEM.TXT,0.39623,0.56757,0.46667,1
ROUGE-1,WSJ870908-0047,SYSTEM.TXT,0.19091,0.53846,0.28188,1
ROUGE-1,AP900529-0005,SYSTEM.TXT,0.30841,0.37079,0.33673,1
ROUGE-1,AP900511-0159,SYSTEM.TXT,0.39423,0.45055,0.42051,1
ROUGE-1,AP900625-0160,SYSTEM.TXT,0.36893,0.50667,0.42697,1
ROUGE-1,FBIS-45908,SYSTEM.TXT,0.21212,0.2625,0.23464,1
ROUGE-1,LA103089-0070,SYSTEM.TXT,0.37209,0.72727,0.49231,1
ROUGE-1,FT922-6646,SYSTEM.TXT,0.33636,0.56061,0.42045,1
ROUGE-1,WSJ920211-0036,SYSTEM.TXT,0.29,0.38667,0.33143,1
ROUGE-1,AP881222-0119,SYSTEM.TXT,0.41837,0.56944,0.48235,1
ROUGE-1,AP880927-0117,SYSTEM.TXT,0.55319,0.49057,0.52,1
ROUGE-1,AP900322-0200,SYSTEM.TXT,0.45192,0.5875,0.51087,1
ROUGE-1,SJMN91-06187248,SYSTEM.TXT,0.13402,0.15854,0.14525,1
ROUGE-1,LA092790-0010,SYSTEM.TXT,0.375,0.3913,0.38298,1
ROUGE-1,FT934-13350,SYSTEM.TXT,0.26733,0.28421,0.27551,1
ROUGE-1,AP891116-0115,SYSTEM.TXT,0.15534,0.39024,0.22222,1
ROUGE-1,AP901231-0012,SYSTEM.TXT,0.42308,0.48352,0.45128,1
ROUGE-1,FT941-575,SYSTEM.TXT,0.69307,0.4321,0.53232,1
ROUGE-1,AP900217-0078,SYSTEM.TXT,0.47525,0.48,0.47761,1
ROUGE-1,SJMN91-06189077,SYSTEM.TXT,0.39423,0.4881,0.43617,1
ROUGE-1,AP900424-0035,SYSTEM.TXT,0.34286,0.46753,0.3956,1
ROUGE-1,AP880913-0204,SYSTEM.TXT,0.61165,0.57273,0.59155,1
ROUGE-1,AP890722-0081,SYSTEM.TXT,0.27957,0.37143,0.31902,1
ROUGE-1,FT934-8628,SYSTEM.TXT,0.09346,0.17544,0.12195,1
ROUGE-1,FT923-5089,SYSTEM.TXT,0.70874,0.62931,0.66667,1
ROUGE-1,AP900316-0028,SYSTEM.TXT,0.32407,0.33654,0.33019,1
ROUGE-1,AP900910-0020,SYSTEM.TXT,0.2809,0.30488,0.2924,1
ROUGE-1,LA070189-0080,SYSTEM.TXT,0.11009,0.36364,0.16901,1
ROUGE-1,WSJ910710-0123,SYSTEM.TXT,0.25472,0.42857,0.31953,1
ROUGE-1,FT911-2650,SYSTEM.TXT,0.14423,0.15625,0.15,1
ROUGE-1,AP900426-0054,SYSTEM.TXT,0.64286,0.49606,0.56,1
ROUGE-1,AP890325-0029,SYSTEM.TXT,0.21622,0.27273,0.24121,1
ROUGE-1,WSJ880621-0079,SYSTEM.TXT,0.05051,0.29412,0.08621,1
ROUGE-1,FT923-7126,SYSTEM.TXT,0.44231,0.30667,0.3622,1
ROUGE-1,AP880409-0015,SYSTEM.TXT,0.44231,0.52874,0.48168,1
ROUGE-1,LA030889-0163,SYSTEM.TXT,0.60638,0.48718,0.54028,1
ROUGE-1,AP890404-0260,SYSTEM.TXT,0.28302,0.5,0.36145,1
ROUGE-1,FT923-5267,SYSTEM.TXT,0.36449,0.50649,0.42391,1
ROUGE-1,FT931-341,SYSTEM.TXT,0.34906,0.38542,0.36634,1
ROUGE-1,AP901030-0216,SYSTEM.TXT,0.21359,0.38596,0.275,1
ROUGE-1,LA092189-0123,SYSTEM.TXT,0.25253,0.23585,0.2439,1
ROUGE-1,LA030489-0068,SYSTEM.TXT,0.57426,0.55769,0.56585,1
ROUGE-1,LA051190-0185,SYSTEM.TXT,0.74,0.55224,0.63248,1
ROUGE-1,FBIS3-30788,SYSTEM.TXT,0.21495,0.36508,0.27059,1
ROUGE-1,FBIS3-22942,SYSTEM.TXT,0.79798,0.95181,0.86813,1
ROUGE-1,AP880902-0062,SYSTEM.TXT,0.50515,0.7,0.58683,1
ROUGE-1,AP890307-0150,SYSTEM.TXT,0.31373,0.49231,0.38323,1
ROUGE-1,WSJ910405-0154,SYSTEM.TXT,0.40196,0.42268,0.41206,1
ROUGE-1,LA081890-0039,SYSTEM.TXT,0.37143,0.48148,0.41935,1
ROUGE-1,AP890326-0081,SYSTEM.TXT,0.14815,0.4,0.21622,1
ROUGE-1,AP890111-0227,SYSTEM.TXT,0.09901,0.27778,0.14599,1
ROUGE-1,FT922-3171,SYSTEM.TXT,0.4381,0.54762,0.48677,1
ROUGE-1,AP880801-0195,SYSTEM.TXT,0.26923,0.44444,0.33533,1
ROUGE-1,FT923-6455,SYSTEM.TXT,0.2451,0.30488,0.27174,1
ROUGE-1,LA042190-0060,SYSTEM.TXT,0.875,0.57233,0.69202,1
ROUGE-1,LA081489-0025,SYSTEM.TXT,0.0283,0.1875,0.04918,1
ROUGE-1,AP890907-0221,SYSTEM.TXT,0.31959,0.39241,0.35227,1
ROUGE-1,LA102190-0045,SYSTEM.TXT,0.17544,0.25974,0.20942,1
ROUGE-1,AP880811-0299,SYSTEM.TXT,0.34188,0.76923,0.47337,1
ROUGE-1,LA012090-0090,SYSTEM.TXT,0.36458,0.35714,0.36082,1
ROUGE-1,FT934-8748,SYSTEM.TXT,0.32692,0.30088,0.31336,1
ROUGE-1,LA092490-0095,SYSTEM.TXT,0.33654,0.36458,0.35,1
ROUGE-1,FT923-6110,SYSTEM.TXT,0.26667,0.36842,0.30939,1
