ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM.TXT,0.55556,0.58511,0.56995,1
ROUGE-1,AP880613-0161,SYSTEM.TXT,0.18627,0.30159,0.2303,1
ROUGE-1,SJMN91-06184003,SYSTEM.TXT,0.27885,0.30851,0.29293,1
ROUGE-1,AP880914-0027,SYSTEM.TXT,0.48182,0.60227,0.53535,1
ROUGE-1,LA060490-0083,SYSTEM.TXT,0.24272,0.37879,0.29586,1
ROUGE-1,SJMN91-06283083,SYSTEM.TXT,0.31068,0.36364,0.33508,1
ROUGE-1,WSJ911212-0080,SYSTEM.TXT,0.36275,0.41111,0.38542,1
ROUGE-1,LA093089-0126,SYSTEM.TXT,0.21875,0.28378,0.24706,1
ROUGE-1,WSJ870123-0101,SYSTEM.TXT,0.35922,0.48052,0.41111,1
ROUGE-1,AP901031-0024,SYSTEM.TXT,0.27723,0.30769,0.29167,1
ROUGE-1,SJMN91-06084228,SYSTEM.TXT,0.16346,0.36957,0.22667,1
ROUGE-1,WSJ870227-0149,SYSTEM.TXT,0.28571,0.52632,0.37037,1
ROUGE-1,WSJ890828-0011,SYSTEM.TXT,0.34188,0.46512,0.39409,1
ROUGE-1,WSJ900918-0121,SYSTEM.TXT,0.10526,0.18182,0.13333,1
ROUGE-1,AP881210-0115,SYSTEM.TXT,0.35849,0.41304,0.38384,1
ROUGE-1,LA042290-0104,SYSTEM.TXT,0.39796,0.55714,0.46429,1
ROUGE-1,LA081589-0043,SYSTEM.TXT,0.24138,0.42424,0.30769,1
ROUGE-1,LA041889-0039,SYSTEM.TXT,0.27083,0.49057,0.34899,1
ROUGE-1,LA040689-0056,SYSTEM.TXT,0.21495,0.38333,0.27545,1
ROUGE-1,AP890325-0143,SYSTEM.TXT,0.19643,0.41509,0.26667,1
ROUGE-1,SJMN91-06193235,SYSTEM.TXT,0.33962,0.52941,0.41379,1
ROUGE-1,AP890316-0018,SYSTEM.TXT,0.52885,0.61111,0.56701,1
ROUGE-1,AP891028-0022,SYSTEM.TXT,0.34615,0.55385,0.42604,1
ROUGE-1,WSJ910628-0109,SYSTEM.TXT,0.1068,0.2,0.13924,1
ROUGE-1,AP880630-0295,SYSTEM.TXT,0.45161,0.5122,0.48,1
