ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,LA061589-0143,SYSTEM,0.44444,0.43137,0.43781,1
ROUGE-1,AP880613-0161,SYSTEM,0.48039,0.49000,0.48515,1
ROUGE-1,SJMN91-06184003,SYSTEM,0.39423,0.32031,0.35345,1
ROUGE-1,AP880914-0027,SYSTEM,0.41818,0.36800,0.39149,1
ROUGE-1,LA060490-0083,SYSTEM,0.49515,0.41803,0.45333,1
ROUGE-1,SJMN91-06283083,SYSTEM,0.27184,0.25926,0.26540,1
ROUGE-1,WSJ911212-0080,SYSTEM,0.49020,0.46296,0.47619,1
ROUGE-1,WSJ870123-0101,SYSTEM,0.39806,0.33884,0.36607,1
ROUGE-1,LA093089-0126,SYSTEM,0.30208,0.25217,0.27488,1
ROUGE-1,AP901031-0024,SYSTEM,0.51485,0.45217,0.48148,1
ROUGE-1,WSJ870227-0149,SYSTEM,0.21905,0.21905,0.21905,1
ROUGE-1,SJMN91-06084228,SYSTEM,0.41346,0.32576,0.36441,1
ROUGE-1,WSJ890828-0011,SYSTEM,0.44444,0.49057,0.46637,1
ROUGE-1,WSJ900918-0121,SYSTEM,0.34737,0.32353,0.33503,1
ROUGE-1,AP881210-0115,SYSTEM,0.31132,0.32353,0.31731,1
ROUGE-1,LA042290-0104,SYSTEM,0.41837,0.39806,0.40796,1
ROUGE-1,LA081589-0043,SYSTEM,0.53448,0.52542,0.52991,1
ROUGE-1,LA040689-0056,SYSTEM,0.43925,0.44762,0.44340,1
ROUGE-1,LA041889-0039,SYSTEM,0.37500,0.34615,0.36000,1
ROUGE-1,AP890325-0143,SYSTEM,0.35714,0.31746,0.33613,1
ROUGE-1,SJMN91-06193235,SYSTEM,0.51887,0.42969,0.47009,1
ROUGE-1,AP890316-0018,SYSTEM,0.50000,0.44444,0.47059,1
ROUGE-1,AP891028-0022,SYSTEM,0.43269,0.37815,0.40359,1
ROUGE-1,WSJ910628-0109,SYSTEM,0.47573,0.34507,0.40000,1
ROUGE-1,AP880630-0295,SYSTEM,0.35484,0.33000,0.34197,1
ROUGE-1,AP901029-0035,SYSTEM,0.41593,0.44762,0.43119,1
ROUGE-1,AP880601-0040,SYSTEM,0.56863,0.25551,0.35258,1
ROUGE-1,LA021689-0227,SYSTEM,0.60000,0.42857,0.50000,1
ROUGE-1,WSJ880617-0024,SYSTEM,0.44000,0.43137,0.43564,1
ROUGE-1,FT942-11114,SYSTEM,0.50485,0.39695,0.44444,1
ROUGE-1,AP900306-0105,SYSTEM,0.58763,0.44186,0.50442,1
ROUGE-1,AP881206-0114,SYSTEM,0.42553,0.31250,0.36036,1
ROUGE-1,AP900703-0040,SYSTEM,0.44118,0.37190,0.40359,1
ROUGE-1,AP880520-0264,SYSTEM,0.46226,0.39516,0.42609,1
ROUGE-1,WSJ880923-0163,SYSTEM,0.41346,0.38393,0.39815,1
ROUGE-1,AP890529-0030,SYSTEM,0.37736,0.31250,0.34188,1
ROUGE-1,WSJ870306-0171,SYSTEM,0.35577,0.33333,0.34419,1
ROUGE-1,WSJ910702-0078,SYSTEM,0.35000,0.23490,0.28112,1
ROUGE-1,WSJ871215-0109,SYSTEM,0.52475,0.51961,0.52217,1
ROUGE-1,FT921-9310,SYSTEM,0.60577,0.52066,0.56000,1
ROUGE-1,WSJ910718-0143,SYSTEM,0.42718,0.39640,0.41121,1
ROUGE-1,FT934-5781,SYSTEM,0.39785,0.28030,0.32889,1
ROUGE-1,AP880517-0226,SYSTEM,0.43750,0.36522,0.39810,1
ROUGE-1,SJMN91-06105230,SYSTEM,0.46154,0.33566,0.38866,1
ROUGE-1,LA043089-0197,SYSTEM,0.51807,0.43000,0.46995,1
ROUGE-1,SJMN91-06184021,SYSTEM,0.35106,0.28205,0.31280,1
ROUGE-1,AP890704-0043,SYSTEM,0.46535,0.40171,0.43119,1
ROUGE-1,LA042490-0142,SYSTEM,0.50476,0.48624,0.49533,1
ROUGE-1,WSJ911106-0109,SYSTEM,0.31633,0.25833,0.28440,1
ROUGE-1,SJMN91-06071022,SYSTEM,0.40777,0.35000,0.37668,1
ROUGE-1,AP900322-0192,SYSTEM,0.44762,0.39167,0.41778,1
ROUGE-1,SJMN91-06212161,SYSTEM,0.62626,0.50407,0.55856,1
ROUGE-1,AP881211-0027,SYSTEM,0.40000,0.36522,0.38182,1
ROUGE-1,LA072089-0140,SYSTEM,0.48544,0.36232,0.41494,1
ROUGE-1,AP890805-0126,SYSTEM,0.36634,0.31624,0.33945,1
ROUGE-1,AP900428-0108,SYSTEM,0.31068,0.31373,0.31220,1
ROUGE-1,FBIS4-56863,SYSTEM,0.35294,0.27068,0.30638,1
ROUGE-1,SJMN91-06192123,SYSTEM,0.47059,0.41739,0.44240,1
ROUGE-1,AP900428-0005,SYSTEM,0.58416,0.49167,0.53394,1
ROUGE-1,LA110589-0082,SYSTEM,0.48515,0.40496,0.44144,1
ROUGE-1,LA050889-0075,SYSTEM,0.56122,0.51402,0.53659,1
ROUGE-1,AP901203-0166,SYSTEM,0.46154,0.47525,0.46829,1
ROUGE-1,AP880714-0142,SYSTEM,0.46078,0.45192,0.45631,1
ROUGE-1,WSJ910326-0090,SYSTEM,0.36800,0.46465,0.41071,1
ROUGE-1,SJMN91-06191174,SYSTEM,0.25688,0.21212,0.23237,1
ROUGE-1,FT921-305,SYSTEM,0.48571,0.41463,0.44737,1
ROUGE-1,LA080790-0111,SYSTEM,0.50943,0.46552,0.48649,1
ROUGE-1,AP890313-0198,SYSTEM,0.39200,0.38889,0.39044,1
ROUGE-1,AP880510-0178,SYSTEM,0.55340,0.47899,0.51351,1
ROUGE-1,WSJ900705-0145,SYSTEM,0.52427,0.33129,0.40602,1
ROUGE-1,LA102189-0151,SYSTEM,0.77451,0.50000,0.60769,1
ROUGE-1,AP900619-0006,SYSTEM,0.39806,0.36283,0.37963,1
ROUGE-1,LA110590-0038,SYSTEM,0.50943,0.54545,0.52683,1
ROUGE-1,SJMN91-06143070,SYSTEM,0.37500,0.34211,0.35780,1
ROUGE-1,AP901012-0032,SYSTEM,0.41414,0.36283,0.38679,1
ROUGE-1,FBIS-41815,SYSTEM,0.72277,0.61864,0.66667,1
ROUGE-1,LA091889-0088,SYSTEM,0.48980,0.42478,0.45498,1
ROUGE-1,AP881126-0007,SYSTEM,0.43363,0.42241,0.42795,1
ROUGE-1,AP890111-0217,SYSTEM,0.51485,0.38235,0.43882,1
ROUGE-1,FT923-5859,SYSTEM,0.65094,0.63889,0.64486,1
ROUGE-1,AP880623-0135,SYSTEM,0.45283,0.36090,0.40167,1
ROUGE-1,AP881222-0126,SYSTEM,0.37000,0.33636,0.35238,1
ROUGE-1,AP890117-0132,SYSTEM,0.29293,0.23387,0.26009,1
ROUGE-1,AP880217-0175,SYSTEM,0.44118,0.37500,0.40541,1
