ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-2,LA061589-0143,SYSTEM.TXT,0.17347,0.17,0.17172,1
ROUGE-2,AP880613-0161,SYSTEM.TXT,0.33663,0.28571,0.30909,1
ROUGE-2,SJMN91-06184003,SYSTEM.TXT,0.1165,0.11429,0.11538,1
ROUGE-2,AP880914-0027,SYSTEM.TXT,0.12844,0.11966,0.12389,1
ROUGE-2,LA060490-0083,SYSTEM.TXT,0.15686,0.14953,0.15311,1
ROUGE-2,SJMN91-06283083,SYSTEM.TXT,0.17647,0.18367,0.18,1
ROUGE-2,WSJ911212-0080,SYSTEM.TXT,0.05941,0.04082,0.04839,1
ROUGE-2,LA093089-0126,SYSTEM.TXT,0.02105,0.01667,0.0186,1
ROUGE-2,WSJ870123-0101,SYSTEM.TXT,0.10784,0.08871,0.09735,1
ROUGE-2,AP901031-0024,SYSTEM.TXT,0.14,0.12281,0.13084,1
ROUGE-2,SJMN91-06084228,SYSTEM.TXT,0.14563,0.14706,0.14634,1
ROUGE-2,WSJ870227-0149,SYSTEM.TXT,0.05769,0.05769,0.05769,1
ROUGE-2,WSJ890828-0011,SYSTEM.TXT,0.15517,0.17308,0.16364,1
ROUGE-2,WSJ900918-0121,SYSTEM.TXT,0.14894,0.12069,0.13333,1
ROUGE-2,AP881210-0115,SYSTEM.TXT,0.21905,0.21296,0.21596,1
ROUGE-2,LA042290-0104,SYSTEM.TXT,0.16495,0.1,0.12451,1
ROUGE-2,LA081589-0043,SYSTEM.TXT,0.13043,0.12931,0.12987,1
ROUGE-2,LA041889-0039,SYSTEM.TXT,0.12632,0.03038,0.04898,1
ROUGE-2,LA040689-0056,SYSTEM.TXT,0.19811,0.15789,0.17573,1
ROUGE-2,AP890325-0143,SYSTEM.TXT,0.03604,0.03774,0.03687,1
ROUGE-2,SJMN91-06193235,SYSTEM.TXT,0.05714,0.0625,0.0597,1
ROUGE-2,AP890316-0018,SYSTEM.TXT,0.23301,0.21239,0.22222,1
ROUGE-2,AP891028-0022,SYSTEM.TXT,0.23301,0.21818,0.22535,1
ROUGE-2,WSJ910628-0109,SYSTEM.TXT,0.14706,0.13514,0.14085,1
ROUGE-2,AP880630-0295,SYSTEM.TXT,0.1413,0.10744,0.12207,1
ROUGE-2,AP901029-0035,SYSTEM.TXT,0.14286,0.14679,0.1448,1
ROUGE-2,AP880601-0040,SYSTEM.TXT,0.11881,0.10084,0.10909,1
ROUGE-2,LA021689-0227,SYSTEM.TXT,0.26263,0.23636,0.2488,1
ROUGE-2,FT942-11114,SYSTEM.TXT,0.18627,0.17431,0.18009,1
ROUGE-2,WSJ880617-0024,SYSTEM.TXT,0.0101,0.00952,0.0098,1
ROUGE-2,AP900306-0105,SYSTEM.TXT,0.15625,0.13889,0.14706,1
ROUGE-2,AP881206-0114,SYSTEM.TXT,0.10753,0.10101,0.10417,1
ROUGE-2,AP900703-0040,SYSTEM.TXT,0.21782,0.20183,0.20952,1
ROUGE-2,AP880520-0264,SYSTEM.TXT,0.24762,0.20635,0.22511,1
ROUGE-2,WSJ880923-0163,SYSTEM.TXT,0.19417,0.15625,0.17316,1
ROUGE-2,WSJ870306-0171,SYSTEM.TXT,0.12621,0.11404,0.11982,1
ROUGE-2,AP890529-0030,SYSTEM.TXT,0.08571,0.08108,0.08333,1
ROUGE-2,WSJ910702-0078,SYSTEM.TXT,0.0202,0.01418,0.01667,1
ROUGE-2,WSJ871215-0109,SYSTEM.TXT,0.28,0.21875,0.24561,1
ROUGE-2,FT921-9310,SYSTEM.TXT,0.28155,0.28713,0.28431,1
ROUGE-2,WSJ910718-0143,SYSTEM.TXT,0.18627,0.18812,0.18719,1
ROUGE-2,FT934-5781,SYSTEM.TXT,0.06522,0.05882,0.06186,1
ROUGE-2,AP880517-0226,SYSTEM.TXT,0.14737,0.14894,0.14815,1
ROUGE-2,SJMN91-06105230,SYSTEM.TXT,0.14563,0.1049,0.12195,1
ROUGE-2,LA043089-0197,SYSTEM.TXT,0.23171,0.12752,0.1645,1
ROUGE-2,SJMN91-06184021,SYSTEM.TXT,0.06452,0.06061,0.0625,1
ROUGE-2,AP890704-0043,SYSTEM.TXT,0.19,0.18812,0.18905,1
ROUGE-2,WSJ911106-0109,SYSTEM.TXT,0.04124,0.03175,0.03587,1
ROUGE-2,LA042490-0142,SYSTEM.TXT,0.5,0.44068,0.46847,1
ROUGE-2,SJMN91-06071022,SYSTEM.TXT,0.18627,0.16102,0.17273,1
ROUGE-2,AP900322-0192,SYSTEM.TXT,0.11538,0.10526,0.11009,1
ROUGE-2,SJMN91-06212161,SYSTEM.TXT,0.23469,0.22549,0.23,1
ROUGE-2,AP881211-0027,SYSTEM.TXT,0.08654,0.09,0.08824,1
ROUGE-2,LA072089-0140,SYSTEM.TXT,0.13725,0.11966,0.12785,1
ROUGE-2,AP890805-0126,SYSTEM.TXT,0.22,0.22,0.22,1
ROUGE-2,AP900428-0108,SYSTEM.TXT,0.04902,0.04673,0.04785,1
ROUGE-2,FBIS4-56863,SYSTEM.TXT,0.05941,0.03371,0.04301,1
ROUGE-2,SJMN91-06192123,SYSTEM.TXT,0.13861,0.10938,0.12227,1
ROUGE-2,LA110589-0082,SYSTEM.TXT,0.16,0.14679,0.15311,1
ROUGE-2,AP900428-0005,SYSTEM.TXT,0.47,0.41593,0.44131,1
ROUGE-2,LA050889-0075,SYSTEM.TXT,0.25773,0.2451,0.25126,1
ROUGE-2,AP901203-0166,SYSTEM.TXT,0.03883,0.0354,0.03704,1
ROUGE-2,AP880714-0142,SYSTEM.TXT,0.15842,0.14159,0.14953,1
ROUGE-2,WSJ910326-0090,SYSTEM.TXT,0.12097,0.14851,0.13333,1
ROUGE-2,SJMN91-06191174,SYSTEM.TXT,0.03704,0.03008,0.0332,1
ROUGE-2,FT921-305,SYSTEM.TXT,0.23077,0.21818,0.2243,1
ROUGE-2,LA080790-0111,SYSTEM.TXT,0.17143,0.15929,0.16514,1
ROUGE-2,AP890313-0198,SYSTEM.TXT,0.09677,0.11538,0.10526,1
ROUGE-2,AP880510-0178,SYSTEM.TXT,0.27451,0.25225,0.26291,1
ROUGE-2,WSJ900705-0145,SYSTEM.TXT,0.01961,0.01695,0.01818,1
ROUGE-2,LA102189-0151,SYSTEM.TXT,0.22772,0.21101,0.21905,1
ROUGE-2,LA110590-0038,SYSTEM.TXT,0.0381,0.03333,0.03556,1
ROUGE-2,AP900619-0006,SYSTEM.TXT,0.26471,0.26214,0.26341,1
ROUGE-2,SJMN91-06143070,SYSTEM.TXT,0.07767,0.07477,0.07619,1
ROUGE-2,AP901012-0032,SYSTEM.TXT,0.15306,0.12931,0.14019,1
ROUGE-2,AP881126-0007,SYSTEM.TXT,0.21429,0.22018,0.21719,1
ROUGE-2,LA091889-0088,SYSTEM.TXT,0.28866,0.24561,0.2654,1
ROUGE-2,FBIS-41815,SYSTEM.TXT,0.49,0.46226,0.47573,1
ROUGE-2,AP890111-0217,SYSTEM.TXT,0.12,0.11321,0.1165,1
